rank,name,year
66,"Sheetz, Inc.",2018
67,Hilcorp,2018
68,Comcast NBCUniversal,2018
69,CHG Healthcare,2018
70,"Nugget Market, Inc.",2018
71,Ryan LLC,2018
72,NuStar Energy,2018
73,TDIndustries,2018
74,Atlantic Health System,2018
75,Hyland,2018
76,Encompass Health - Homecare and Hospice,2018
77,Children's Healthcare of Atlanta,2018
78,Progressive Insurance,2018
79,Alston & Bird LLP,2018
80,"Autodesk, Inc.",2018
81,Kronos Incorporated,2018
82,Alliance Data,2018
83,"Mars, Incorporated",2018
84,Activision Blizzard,2018
85,Aflac Incorporated,2018
86,"T-Mobile US, Inc.",2018
87,Power Home Remodeling,2018
88,"Nordstrom, Inc.",2018
89,"The Goldman Sachs Group, Inc.",2018
90,OhioHealth,2018
91,Methodist Le Bonheur Healthcare,2018
92,Devon Energy,2018
93,The Container Store,2018
94,FedEx Corporation,2018
95,Novo Nordisk Inc.,2018
96,Baker Donelson,2018
97,AbbVie,2018
98,"Delta Air Lines, Inc.",2018
99,Four Seasons Hotels & Resorts,2018
100,AT&T,2018
1,Hilton,2019
2,Salesforce,2019
3,"Wegmans Food Markets, Inc.",2019
4,Workday,2019
5,Kimpton Hotels & Restaurants,2019
6,Cisco,2019
7,Edward Jones,2019
8,ULTIMATE SOFTWARE,2019
9,Texas Health Resources,2019
10,"The Boston Consulting Group, Inc.",2019
11,Stryker,2019
12,Publix Super Markets Inc.,2019
13,American Express,2019
14,Quicken Loans,2019
15,Orrick,2019
16,Baird,2019
17,"JM Family Enterprises, Inc.",2019
18,Kimley-Horn,2019
19,Camden Property Trust,2019
20,Cooley LLP,2019
21,Plante Moran,2019
22,Adobe,2019
23,Veterans United Home Loans,2019
24,Intuit Inc.,2019
25,The Cheesecake Factory Incorporated,2019
26,Deloitte,2019
27,Pinnacle Financial Partners,2019
28,SAP SE,2019
29,Navy Federal Credit Union,2019
30,USAA,2019
31,"Marriott International, Inc.",2019
32,Hyatt Hotels Corporation,2019
33,CarMax,2019
34,Ernst & Young LLP,2019
35,Southern Ohio Medical Center,2019
36,KPMG LLP,2019
37,"BayCare Health System, Inc.",2019
38,NVIDIA,2019
39,Capital One Financial Corporation,2019
40,Baptist Health South Florida,2019
41,David Weekley Homes,2019
42,Dropbox,2019
43,Allianz Life Insurance Company of North America,2019
44,PricewaterhouseCoopers LLP,2019
45,Genentech,2019
46,"Recreational Equipment, Inc. (REI)",2019
47,Protiviti,2019
48,"Slalom, LLC.",2019
49,"T-Mobile US, Inc.",2019
50,Red Hat,2019
51,Synchrony,2019
52,Ryan LLC,2019
53,Alston & Bird LLP,2019
54,Encompass Health - Homecare and Hospice,2019
55,American Fidelity Assurance Company,2019
56,"World Wide Technology, LLC",2019
57,Nationwide,2019
58,St. Jude Children's Research Hospital,2019
59,Credit Acceptance Corporation,2019
60,SAS Institute Inc.,2019
61,Accenture,2019
62,"The Goldman Sachs Group, Inc.",2019
63,AbbVie,2019
64,HubSpot,2019
65,Oliver Wyman,2019
66,Bright Horizons Family Solutions,2019
67,CHG Healthcare,2019
68,Crowe,2019
69,Zillow,2019
70,Atlassian,2019
71,Comcast NBCUniversal,2019
72,Hyland,2019
73,Cadence,2019
74,Perkins Coie LLP,2019
75,"Regeneron Pharmaceuticals, Inc.",2019
76,Progressive Insurance,2019
77,Power Home Remodeling,2019
78,Kronos Incorporated,2019
79,Children's Healthcare of Atlanta,2019
80,Workiva Inc.,2019
81,"Nugget Market, Inc.",2019
82,Burns & McDonnell,2019
83,First American Financial Corporation,2019
84,Total Quality Logistics,2019
85,"Sheetz, Inc.",2019
86,Custom Ink,2019
87,Atlantic Health System,2019
88,Methodist Le Bonheur Healthcare,2019
89,Four Seasons Hotels & Resorts,2019
90,Novo Nordisk Inc.,2019
91,Farmers Insurance,2019
92,Bank of America,2019
93,"Box, Inc.",2019
94,Alliance Data,2019
95,FedEx Corporation,2019
96,Activision Blizzard,2019
97,"Delta Air Lines, Inc.",2019
98,"Mars, Incorporated",2019
99,OhioHealth,2019
100,Patagonia,2019
1,Hilton,2020
2,ULTIMATE SOFTWARE,2020
3,"Wegmans Food Markets, Inc.",2020
4,Cisco,2020
5,Workday,2020
6,Salesforce,2020
7,Edward Jones,2020
8,Stryker,2020
9,American Express,2020
10,Kimpton Hotels & Restaurants,2020
11,Intuit Inc.,2020
12,The Cheesecake Factory Incorporated,2020
13,Baird,2020
14,Pinnacle Financial Partners,2020
15,Texas Health Resources,2020
16,Kimley-Horn,2020
17,Veterans United Home Loans,2020
18,Camden Property Trust,2020
19,Navy Federal Credit Union,2020
20,CarMax,2020
21,Plante Moran,2020
22,Southern Ohio Medical Center,2020
23,David Weekley Homes,2020
24,Capital One Financial Corporation,2020
25,Ernst & Young LLP,2020
26,"JM Family Enterprises, Inc.",2020
27,NVIDIA,2020
28,Hyatt Hotels Corporation,2020
29,Quicken Loans,2020
30,HubSpot,2020
31,"Slalom, LLC.",2020
32,KPMG LLP,2020
33,Allianz Life Insurance Company of North America,2020
34,Protiviti,2020
35,Adobe,2020
36,PricewaterhouseCoopers LLP,2020
37,"BayCare Health System, Inc.",2020
38,"Marriott International, Inc.",2020
39,Publix Super Markets Inc.,2020
40,Perkins Coie LLP,2020
41,Accenture,2020
42,"T-Mobile US, Inc.",2020
43,SCRIPPS HEALTH,2020
44,Synchrony,2020
45,Deloitte,2020
46,West Monroe Partners,2020
47,Orrick,2020
48,Red Hat,2020
49,Progressive Insurance,2020
50,Power Home Remodeling,2020
51,"Pluralsight, Inc.",2020
52,Kronos Incorporated,2020
53,American Fidelity Assurance Company,2020
54,Baptist Health South Florida,2020
55,USAA,2020
56,Alston & Bird LLP,2020
57,Cooley LLP,2020
58,Workiva Inc.,2020
59,SAP America,2020
60,"Recreational Equipment, Inc. (REI)",2020
61,SAS Institute Inc.,2020
62,CoverMyMeds,2020
63,Dropbox,2020
64,Comcast NBCUniversal,2020
65,Burns & McDonnell,2020
66,Ryan LLC,2020
67,"Regeneron Pharmaceuticals, Inc.",2020
68,Credit Acceptance Corporation,2020
69,Bain & Company,2020
70,Hilcorp,2020
71,"Box, Inc.",2020
72,Genentech,2020
73,CHG Healthcare,2020
74,Novo Nordisk Inc.,2020
75,Bright Horizons Family Solutions,2020
76,First American Financial Corporation,2020
77,Bank of America,2020
78,Total Quality Logistics,2020
79,"Nugget Market, Inc.",2020
80,"Sheetz, Inc.",2020
81,Crowe,2020
82,Cadence,2020
83,"W. L. Gore & Associates, Inc.",2020
84,Nutanix,2020
85,Atlassian,2020
86,NuStar Energy,2020
87,AbbVie,2020
88,Encompass Health - Homecare and Hospice,2020
89,Atlantic Health System,2020
90,Experian,2020
91,Nationwide,2020
92,Custom Ink,2020
93,Northwell Health,2020
94,"The Goldman Sachs Group, Inc.",2020
95,Kettering Health Network,2020
96,"World Wide Technology, LLC",2020
97,Farmers Insurance,2020
98,"Mars, Incorporated",2020
99,"Delta Air Lines, Inc.",2020
100,Four Seasons Hotels & Resorts,2020
